"Latitude";"Longitude";"Desc_Basica";"Desc_Complemento";"Distrito";"Data_ano";"Data_mes";"Data_hora";"Horas_p_Fechamento"
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";NA
NA;NA;"Fire";"3rd Alarm";"Manhattan";2016;"10";"23";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
40.7144215406227;-74.0060763804198;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
NA;NA;"Transportation";"Train Elevated";"Brooklyn";2016;"10";"06";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
NA;NA;"Administration";"Other";"Brooklyn";2016;"10";"20";NA
NA;NA;"Rescue";"Confined Space";"Brooklyn";2016;"11";"00";6.71
NA;NA;"Utility";"Network Condition";"Manhattan";2014;"02";"11";144.4
NA;NA;"Law Enforcement";"Suspicious Package";"Brooklyn";2016;"10";"21";NA
NA;NA;"Fire";"2nd Alarm";"Brooklyn";2016;"10";"02";NA
NA;NA;"Structural";"Demolition";"Brooklyn";2016;"10";"15";NA
NA;NA;"Fire";"10-76 (Commercial High Rise Fire)";"Manhattan";2016;"10";"06";NA
NA;NA;"Fire";"Collapse";"Brooklyn";2016;"11";"11";NA
NA;NA;"Utility";"Gas High Pressure";"Bronx";2016;"10";"10";NA
40.8829397773499;-73.8332442055548;"Utility";"Power Outage";"Bronx";2016;"11";"14";NA
NA;NA;"Fire";"1st Alarm";"Brooklyn";2014;"06";"04";2.19
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
NA;NA;"Law Enforcement";"Haz Mat";"Manhattan";2014;"06";"13";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Utility";"Gas Main Rupture";"New York";2014;"08";"13";2.43
40.8888611781318;-73.8220800460113;"Fire";"1st Alarm";"Bronx";2014;"08";"18";6.33
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
NA;NA;"Utility";"Water Main";"Brooklyn";2016;"10";"15";NA
40.7144215406227;-74.0060763804198;"Structural";"Crane";"Manhattan";2016;"11";"16";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"HazMat";"Fuel";"Brooklyn";2014;"11";"03";2.13
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
40.7413507443641;-74.0368578184314;"Utility";"Water Main";"Queens";2016;"10";"06";NA
NA;NA;"Utility";"Water Main";"Queens";2016;"09";"16";NA
NA;NA;"Fire";"2nd Alarm";"Brooklyn";2016;"09";"02";NA
NA;NA;"Law Enforcement";"Haz Mat";"Brooklyn";2016;"09";"14";NA
NA;NA;"Utility";"Water Main";"Manhattan";2016;"09";"11";NA
40.8260913175816;-73.9269248949247;"Administration";"Planned Event";"Bronx";2016;"09";"18";NA
